Process with no PCG/ActUnit:
Scenario ; Region ; Process ; PrimaryCG ; Activity Unit 
NewTech_RCA1 ; NI ; C_EDU-SH_Boiler-PLT ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-SH_Boiler-WOD ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-SH_GHP-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-SH_RH-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-WH_AIRHP-ELC ;  ; PJ
NewTech_RCA1 ; NI ; C_EDU-WH_Boiler-BIG ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-MPM_-H2R ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-MPM_-LPG ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-MPM_-PET ;  ; PJ
NewTech_RCA1 ; NI ; C_WSR-MPS_-DSL ;  ; PJ
